name,description,price,currency,unit,serial_number,search_aliases
Waltz fragrance,,81.82,USD,KG,119,
Red adsaaf,,72.12,USD,KG,120,
white YARA,,145.46,USD,KG,121,
Pink Arabia Fragrance,,130.00,USD,KG,122,
Saudi Arabia Fragrance,,275.16,USD,KG,123,
Mysterious East fragrance,,181.22,USD,KG,127,
Arabic perfume fragrance,,126.66,USD,KG,128,
Scent Library L.B.K Water,,211.82,USD,KG,131,
White Roses and Magnolias,,101.82,USD,KG,133,
First ripening of jasmine,,307.88,USD,KG,134,
White Shirts,,160.60,USD,KG,135,
Sweetheart Rose,,54.54,USD,KG,136,
Juliette Has A Gun Fragrance,,54.54,USD,KG,137,
Cosmic Speculation Echo der Rose,,302.42,USD,KG,138,
Sun comforter,,218.18,USD,KG,139,
National creme candy,,103.64,USD,KG,140,
Ancient temple sandalwood,,88.48,USD,KG,141,
Spring rose wood,,219.70,USD,KG,142,
Atlantic,,70.30,USD,KG,143,
Orange bubble,,45.46,USD,KG,144,
Eftinaan,,133.04,USD,KG,145,
Butterfly Agarwood & Benzoin,,141.82,USD,KG,151,
English Pear & Freesia,,59.10,USD,KG,154,
Miss Saigon - Sensual Blue,,53.04,USD,KG,155,
Miss Miller,,258.48,USD,KG,156,
Laurel Rose,,104.84,USD,KG,158,
Laurel Rose,,74.54,USD,KG,159,
The white-blanc,,84.84,USD,KG,160,
inflorescence,,89.40,USD,KG,161,
Noshane Oolong tea,,85.46,USD,KG,162,
CLAIN,,69.10,USD,KG,163,
The white-blanc,,84.84,USD,KG,164,
Rayanch gelato,,60.30,USD,KG,165,
Flower Bush,,89.40,USD,KG,166,
Pink Note,,70.30,USD,KG,167,
Night,,117.58,USD,KG,170,
Rare,,69.70,USD,KG,171,
Elegant,,378.18,USD,KG,172,
Lime Ramblings,,71.52,USD,KG,175,
Orange Light Eclipses the Moon,,86.66,USD,KG,176,
The Realm of Clarity,,89.40,USD,KG,177,
Tea Flower Story,,237.88,USD,KG,178,
Love Letter of Green Mango,,84.24,USD,KG,179,
Crimson Forest,,44.24,USD,KG,180,
Rare,,119.70,USD,KG,183,
Bed,,252.42,USD,KG,184,
Odette,,172.12,USD,KG,185,
Alda,,138.18,USD,KG,187,
Alexandria,,480.60,USD,KG,188,
Patchouli Wyatt,,108.48,USD,KG,189,
Ylang Ylang White,,111.52,USD,KG,190,
Patchouli Ylang Ylang White,,119.70,USD,KG,191,
Grapefruit,,180.60,USD,KG,192,
Patchouli,,50.30,USD,KG,193,
Sweet Almond,,34.84,USD,KG,209,
Deep Blue Poison,,59.10,USD,KG,210,
Heart Delight,,74.54,USD,KG,211,
Flower Garden,,89.40,USD,KG,212,
Sage,,45.46,USD,KG,213,
Eucalyptus Leaf Lavender,,26.66,USD,KG,214,
Warm Woodsy Scent,,99.40,USD,KG,215,
Dogma,,122.12,USD,KG,217,
Dream,,94.84,USD,KG,218,
Dream,,60.00,USD,KG,222,
Dogma,,60.00,USD,KG,223,
French Man's Perfume - Anniversary Edition,,140.90,USD,KG,225,
Aloe Vera,,43.94,USD,KG,226,
Dawn Flower (Men's Perfume),,197.58,USD,KG,228,
Honey Melody,,168.18,USD,KG,229,
Mysterious Amber,,175.16,USD,KG,230,
Roman Holiday,,77.58,USD,KG,231,
Roman Holiday,,43.94,USD,KG,232,
Mysterious Amber,,73.64,USD,KG,233,
Honey Melody,,72.72,USD,KG,234,
Dawn Flower (Men's Perfume),,75.16,USD,KG,235,
Office Elite,,241.22,USD,KG,236,
Infinite Possibilities,,75.16,USD,KG,238,
Pure White,,292.72,USD,KG,239,
Office Elite,,72.12,USD,KG,240,
Pure White,,75.46,USD,KG,242,
Golden Prestige,,81.22,USD,KG,243,
Blue Star U,,96.96,USD,KG,246,
After the Rain (Men's Fragrance),,90.60,USD,KG,249,
Summer bubbles,,97.88,USD,KG,254,
Strolling Through Autumn Colors,,41.82,USD,KG,255,
Cedar Love,,40.90,USD,KG,256,
"Flower, Grass, and Tree Language",,46.06,USD,KG,257,
Dreamland,,193.94,USD,KG,258,
Deep Sea Dragon Roar,,81.22,USD,KG,259,
Pure Wood,,59.10,USD,KG,260,
Fir Tree,,58.48,USD,KG,261,
Passionate Palpitations,,138.78,USD,KG,262,
Ice and Snow Sandalwood Heart,,63.64,USD,KG,263,
Dancing Cherry Blossoms,,36.96,USD,KG,264,
Northern Wind,,53.94,USD,KG,265,
Zen Temple Lotus Language,,89.70,USD,KG,266,
Gardenia Ebony,,38.78,USD,KG,267,
Forest Ball,,428.18,USD,KG,268,
Blue Perfume,,90.30,USD,KG,269,
Free and Easy Breeze,,109.10,USD,KG,270,
Tidal Amber,,34.24,USD,KG,271,
Nobility,,36.06,USD,KG,272,
Night Sweetheart,,63.34,USD,KG,283,
Love of Matcha,,120.60,USD,KG,284,
Coconut&Lemongrass,,39.40,USD,KG,285,
Watermelon,,41.82,USD,KG,286,
Cream&Coconut,,37.88,USD,KG,287,
Lily,,55.46,USD,KG,290,
Gardenias in Bloom,,132.72,USD,KG,296,
Laurel,,25.76,USD,KG,297,
Cold cotton,,36.06,USD,KG,298,
Vanilla Fluff Dream,,127.28,USD,KG,320,
Fruits Party,,43.94,USD,KG,321,
Romantic,,50.90,USD,KG,322,
dreamer,,46.06,USD,KG,323,
Relax,,62.42,USD,KG,324,
Flower Explosion,,50.00,USD,KG,325,
Bitter orange blossom,,110.60,USD,KG,347,
Powder mist casts a shadow,,51.22,USD,KG,348,
Scarlet Witch,,382.72,USD,KG,349,
Call Pretty,,45.46,USD,KG,350,
Elysion,,352.12,USD,KG,352,
live an extravagant life,,520.00,USD,KG,353,
Baby powder,,28.78,USD,KG,359,
Dove fragrance,,57.58,USD,KG,360,
The Different Company Tokyo Bloom,,230.30,USD,KG,366,
B Elysion,,60.60,USD,KG,370,
B live an extravagant life,,60.60,USD,KG,372,
A live an extravagant life,,121.22,USD,KG,375,
A Elysion,,121.22,USD,KG,376,
Lutens La Fille de Berlin,,117.58,USD,KG,380,
Armaf Club de Nuit Intense Man,,536.96,USD,KG,389,
Sweet Twilight,,72.72,USD,KG,394,
Lutens La Fille de Berlin,,45.46,USD,KG,395,
Lutens La Fille de Berlin,,60.60,USD,KG,397,
white mark,,227.28,USD,KG,399,
goddess,,42.42,USD,KG,409,
goddess,,60.00,USD,KG,412,
Classical Sandalwood,,100.00,USD,KG,413,
Shallow Sweet Deep Sandalwood,,242.42,USD,KG,414,
Pink Chiffon,,68.18,USD,KG,424,
Mango,,30.30,USD,KG,425,
Blue Star U,,127.28,USD,KG,426,
Golden Prestige,,129.70,USD,KG,427,
Saudi Arabia Fragrance,,153.94,USD,KG,428,
Saffron ebony,,151.52,USD,KG,443,
Cherry Red Wine,,151.52,USD,KG,444,
Sweet old wood,,151.52,USD,KG,445,
Leather Saffron,,131.22,USD,KG,447,
Vanilla Woods,,113.64,USD,KG,448,
Spice Tobacco,,117.58,USD,KG,449,
White Musk,,133.04,USD,KG,450,
Rose Oud,,126.66,USD,KG,451,
Oud Amber,,137.88,USD,KG,452,
First ripening of jasmine,,60.60,USD,KG,458,
Fahrenheit,,75.46,USD,KG,459,
Scandal men,,60.00,USD,KG,460,
Gissah-one&only,,136.36,USD,KG,462,
bamboo,,36.36,USD,KG,474,
Eventful Dorall Collection,,90.30,USD,KG,484,
White Tea&Wood Violet,,151.52,USD,KG,485,
Wood Violet,,151.52,USD,KG,486,
Wood Violet,,706.06,USD,KG,487,
Sudan Roasted Sandalwood perfume,,257.58,USD,KG,488,
Fresh Valley White Orchid,,98.78,USD,KG,489,
Armaf Club de Nuit Intense Man,,173.34,USD,KG,493,
White Encounter,,57.58,USD,KG,500,
Soully - Valley White Orchid,,98.78,USD,KG,504,
